,Name,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Value_mill(€),Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength
2365,F. Soelle Soelle,1,0,0.7,69.5,0.825,1.4125,0,0,4
1772,A. Al Dakhil,1,0,21.0,76.5,4.9,4.2375,0,0,4
2219,S. Duffy,1,2,25.0,73.0,2.1,3.1,0,0,4
910,Igor Thiago,1,0,21.0,78.0,9.0,7.3500000000000005,0,0,5
4215,23 C. Magallán,1,0,0.5,66.5,0.975,0.975,0,0,2
1715,K. Arriaga,1,1,3.0,69.0,1.3,2.624090909090909,0,0,7
3442,João Moutinho,3,4,11.0,76.0,2.4,7.761538461538462,0,0,3
4746,Mortimer,1,0,5.0,69.0,1.6,4.322222222222222,0,0,2
1691,I. Jenner,1,0,1.0,67.5,0.725,1.8093750000000002,0,0,6
5000,B. Fazliji,1,0,2.0,68.5,1.3,2.305,0,0,5
2730,B. Cabango,1,0,14.0,74.5,3.5,2.2916666666666665,0,0,8
2255,D. Peretz,1,0,21.0,76.5,4.6,35.721875000000004,0,0,6
4018,N. Thomas,1,2,3.0,71.5,1.9,1.6,0,0,4
520,E. Konsa,2,4,77.0,81.0,23.5,15.68148148148148,0,0,10
3519,Nani,3,3,9.0,73.0,1.0,2.5,0,0,2
5001,E. Kardeşler,1,1,8.0,71.0,1.3,2.0,0,0,5
3979,S. Giovane,1,0,1.0,71.5,1.7,1.7125000000000001,0,0,6
3373,21 David Luiz,4,3,76.0,79.0,8.5,26.811666666666667,0,0,3
2606,E. Elmalı,1,4,22.0,73.5,2.7,4.4312499999999995,0,0,6
4590,F. González,1,0,6.0,72.5,2.7,2.725,0,0,6
3823,J. Hofmann,1,0,1.0,62.0,0.425,1.7166666666666666,0,0,6
1946,M. Nadé,1,2,5.0,72.5,2.2,2.4805555555555556,0,0,8
282,Rodri,4,6,260.0,91.0,129.5,42.38637931034482,0,1,9
2954,K. Amian,1,2,15.0,73.0,2.7,3.815,0,0,5
4227,Gerard Yepes,1,0,0.75,71.5,1.6,1.7194444444444446,0,0,5
1850,J. Ngakia,1,0,13.0,71.0,1.9,1.6838888888888888,0,0,5
3497,Jacobo,1,0,6.0,70.0,1.0,37.88035714285714,0,0,6
3643,M. Tomič,1,0,0.75,73.5,3.0,5.066666666666666,0,0,4
4628,23 J. Orozco,1,0,0.5,65.0,0.75,1.365,0,0,3
1075,T. Cairney,1,3,66.0,76.0,6.0,6.167105263157895,0,0,11
3550,Y. Akçiçek,1,0,0.5,67.0,0.475,10.398863636363636,0,0,4
3259,T. Haye,1,8,7.0,72.0,2.3,3.28,0,0,3
4357,A. Martha,1,0,2.0,69.5,1.2,7.7056818181818185,0,0,6
601,Tiago Santos,1,0,19.0,79.0,12.0,9.093333333333334,0,0,6
3740,R. Sagrado,1,0,2.0,71.5,1.6,1.4916666666666665,0,0,5
1529,Michael,1,4,36.0,76.0,8.0,23.802,0,0,3
3007,Daniel Podence,1,3,56.0,76.0,8.0,8.334999999999999,0,0,5
1309,M. Neuer,5,6,55.0,87.0,9.0,35.721875000000004,1,0,15
2972,S. Singh,1,4,5.0,68.0,1.3,0.8875,0,0,4
1399,E. Anderson,1,1,53.0,78.0,9.0,16.398076923076925,0,0,8
1800,Pacheco,1,0,15.0,76.0,3.9,13.283695652173913,0,0,7
2211,M. James,1,1,17.0,70.0,1.1,1.3587500000000001,0,0,4
4052,O. Wiklöf,1,1,0.85,67.5,1.0,0.65625,0,0,3
2817,Dani Raba,1,2,11.0,73.0,3.2,2.565,0,0,3
245,E. Nketiah,1,1,78.0,78.0,11.0,26.811666666666667,0,0,12
1085,S. Haller,3,5,63.0,81.0,25.5,21.90416666666667,0,0,5
1259,D. Burn,2,2,85.0,78.0,9.5,16.398076923076925,0,0,4
2809,S. Benda,1,2,14.0,70.0,1.3,6.167105263157895,0,0,4
3801,I. Hughes,1,1,0.5,61.5,0.275,0.6166666666666667,0,0,3
2165,C. Günter,2,5,31.0,79.0,15.0,10.713333333333333,0,0,16
1328,P. Dahbo,1,0,0.5,70.5,0.775,1.44375,0,0,6
3684,Óscar Aranda,1,0,3.0,73.0,2.5,4.214285714285714,0,0,4
4501,P. Weah,1,2,0.8,65.5,0.525,2.624090909090909,0,0,4
1098,J. Tauriainen,1,0,7.0,67.0,0.575,17.2421875,0,0,6
4928,R. Caicedo,1,0,0.5,67.0,0.525,0.975,0,0,9
3124,S. Widmer,2,1,23.0,75.0,4.8,5.7942307692307695,0,0,6
1999,J. Brekalo,2,2,1.0,77.0,9.5,5.2,0,0,4
4339,23 Pablo Gálvez,1,0,4.0,69.5,1.2,10.2875,0,0,6
3989,23 Aldair Neves,1,0,2.0,68.0,1.3,1.3,0,0,4
2177,14 F. Adu,2,2,8.0,69.0,0.85,1.025,0,0,1
500,E. Tapsoba,2,3,49.0,83.0,33.0,28.45921052631579,0,0,9
3731,I. Bowat,1,1,3.0,72.0,2.5,1.5125,0,0,5
1580,T. Minamino,1,1,57.0,79.0,17.5,13.135,0,0,5
3428,19 Juanfran,3,0,50.0,80.0,5.5,20.312037037037037,0,0,9
4238,M. Ryneš,1,0,0.65,75.0,3.5,6.744642857142857,0,0,9
2959,N. D'Agostino,1,4,2.0,69.5,1.6,1.4000000000000001,0,0,4
3843,A. Cerda,1,0,0.5,65.5,0.35,2.3857142857142857,0,0,6
3103,C. Dawson,1,1,5.0,68.0,0.925,1.16875,0,0,12
4958,A. Sher,1,0,0.85,69.5,1.2,0.9916666666666667,0,0,3
1778,E. Cashin,1,4,6.0,73.0,2.3,2.9,0,0,10
4290,Magunazelaia,1,0,5.0,68.5,1.1,13.283695652173913,0,0,5
1768,A. Brown,1,1,9.0,74.5,3.6,2.725,0,1,5
1755,I. Hien,1,2,35.0,79.5,14.5,16.893055555555556,0,0,5
4638,21 M. Awad,1,0,2.0,64.0,0.55,0.9821428571428571,0,0,7
4849,S. Hansen,1,3,4.0,73.0,2.7,2.375,0,0,5
2769,R. Crichlow,1,2,2.0,66.5,0.9,1.306875,0,0,3
1223,L. Bolton,1,4,4.0,66.0,0.775,0.7150000000000001,0,0,3
470,M. Maignan,3,5,90.0,88.5,78.0,27.33409090909091,0,0,6
3034,Rodri Tarín,1,4,4.0,69.5,1.4,1.7399999999999998,0,0,4
3063,C. Akolo,1,3,10.0,72.0,2.4,2.305,0,0,3
1744,Joan García,1,1,3.0,74.0,2.7,3.5200000000000005,0,0,9
1752,Yang Hyun Jun,1,2,19.0,74.5,3.1,5.626785714285714,0,0,6
1367,A. Ezzalzouli,1,2,15.0,79.0,9.5,12.610294117647058,0,0,6
34,J. Bellingham,4,5,230.0,90.0,128.5,37.88035714285714,0,1,7
4576,G. Martins,1,0,0.65,56.0,0.12,0.365,0,0,5
2717,Jaime Seoane,1,1,8.0,72.5,2.7,1.7399999999999998,0,0,5
4636,A. Hirtlreiter,1,0,0.5,64.0,0.5,0.6812499999999999,0,0,5
3061,T. James,1,4,2.0,63.0,0.475,0.84875,0,0,4
4989,E. Busquets,1,0,0.5,70.0,1.8,4.885714285714286,0,0,1
4562,E. Sevikyan,1,0,0.5,71.0,1.9,2.7142857142857144,0,0,5
2451,D. Eid,1,3,2.0,67.5,1.0,0.7799999999999999,0,0,3
1989,R. Doan,2,3,27.0,77.5,12.5,10.713333333333333,0,0,5
3434,22 A. Akinfenwa,1,3,2.0,64.0,0.2,0.40625,1,0,7
565,N. Füllkrug,2,3,60.0,81.0,25.5,21.90416666666667,0,0,4
3484,16 B. Hangeland,2,1,15.0,72.0,0.65,11.011904761904763,0,0,3
3424,B. Dost,2,3,11.0,73.0,1.5,2.375,0,0,2
104,F. Wirtz,3,6,77.0,89.5,118.5,28.45921052631579,0,0,8
1969,Junior Firpo,2,2,31.0,73.5,3.3,5.6796875,0,0,5
3225,M. Bennett,1,2,3.0,67.0,1.1,0.7562500000000001,0,0,3
895,N. Pépé,2,4,53.0,78.0,14.0,4.4312499999999995,1,0,2
2579,B. Zainutdinov,1,0,11.0,69.5,1.7,3.7982142857142853,0,0,5
2345,D. Håkans,1,1,2.0,70.5,1.9,0.6964285714285714,0,0,4
599,A. Giay,1,0,5.0,77.0,4.3,3.2399999999999998,0,0,7
3982,M. Mbaye,1,0,14.0,73.0,2.2,4.890909090909091,0,0,8
3654,S. Rubežić,1,2,3.0,70.5,1.9,2.096875,0,0,4
3595,J. Kügel,1,0,2.0,60.0,0.275,1.025,0,0,3
1742,N. Cobb,1,0,0.5,67.0,0.475,9.6675,0,0,3
806,H. Meister,1,0,0.6,64.0,0.475,0.9916666666666667,0,0,4
2381,J. Low,1,1,2.0,66.5,0.825,0.40625,0,0,3
4976,S. Pierotti,1,1,8.0,72.5,2.8,4.803571428571429,0,0,4
1387,Peque,1,0,5.0,76.5,4.1,3.204166666666666,0,0,4
95,B. Verbruggen,1,0,30.0,80.0,10.5,7.848958333333333,0,0,6
2445,B. Bender,1,0,2.0,68.5,1.3,3.29375,0,0,3
4656,E. Batalla,1,1,0.6,70.5,1.9,1.3624999999999998,0,0,1
1091,Joan González,1,1,8.0,75.5,4.2,4.803571428571429,0,0,6
2552,Álex Cardero,1,2,1.0,69.5,1.1,1.7399999999999998,0,0,7
4535,22 M. Yumiba,1,0,0.5,62.0,0.325,0.325,0,0,3
2889,F. Wagner,1,2,1.0,67.0,0.9,0.835,0,0,4
4074,23 Ning Hao,1,0,1.0,48.0,0.015,0.08166666666666667,0,0,3
1949,A. Karazor,1,1,21.0,75.0,5.5,9.601315789473684,0,0,8
415,T. Kroos,4,8,260.0,87.0,49.0,37.88035714285714,0,1,11
4890,S. McClelland,1,0,1.0,68.5,1.0,0.6175,0,0,3
2337,V. Udoh,1,1,2.0,69.0,0.825,3.627083333333333,0,0,6
2618,U. Güneş,1,1,15.0,71.0,1.9,4.4312499999999995,0,0,5
224,T. Adarabioyo,1,3,58.0,78.5,10.0,6.167105263157895,0,0,5
4174,23 Quintela,1,0,1.0,64.0,0.475,8.58392857142857,0,0,2
3088,I. Cissé,1,1,0.75,72.0,2.2,2.7142857142857144,0,0,6
1853,A. Pitu,1,4,2.0,70.5,1.9,1.45625,0,0,5
3760,N. Pisilli,1,0,3.0,68.5,0.625,14.482000000000001,0,0,5
1109,N. Patterson,1,5,18.0,75.5,4.5,7.470535714285715,0,0,6
1680,O. Diakité,1,0,11.0,77.0,5.0,7.685714285714285,0,0,6
2594,M. Samoise,1,1,11.0,74.5,3.8,2.725,0,0,6
3900,J. Dunsby,1,1,1.0,66.5,0.875,0.521875,0,0,3
4758,O. Traoré,1,1,21.0,74.0,3.5,4.6499999999999995,0,0,4
3294,C. Jenkinson,1,2,0.7,63.0,0.35,0.35,0,0,3
2457,H. Røsten,1,0,0.5,67.0,0.525,1.05,0,0,6
3179,D. Lazović,1,2,25.0,75.0,4.5,4.466666666666667,0,0,6
1640,Patric,1,2,38.0,76.0,6.0,15.7,0,0,13
269,Oyarzabal,3,3,54.0,83.0,39.5,13.283695652173913,0,0,15
3435,23 F. Ribéry,4,4,21.0,76.0,2.6,4.640909090909091,0,0,3
639,C. Kouamé,1,1,51.0,78.5,14.0,11.290277777777778,0,0,5
2315,M. Fernandez-Pardo,1,0,2.0,70.0,1.0,2.725,0,0,4
651,N. Pérez,1,4,13.0,78.0,8.0,4.6656249999999995,0,0,6
3120,E. Méndez,1,2,5.0,68.0,0.4,1.0,0,0,2
507,Đ. Petrović,1,0,53.0,80.5,18.0,17.2421875,0,0,8
3184,Hwang Ui Jo,2,3,12.0,72.0,2.3,1.60625,0,0,1
4293,23 Y. Martínez,1,1,0.5,70.0,1.4,0.7999999999999999,0,0,3
2171,G. Fernández,1,4,18.0,75.0,4.6,5.307142857142857,0,0,3
117,Dani Olmo,3,8,71.0,84.5,48.0,28.642857142857142,0,0,8
4959,J. Bergström,1,1,1.0,63.0,0.5,0.7208333333333333,0,0,4
1695,M. Dibley-Dias,1,0,6.0,66.0,0.525,6.167105263157895,0,0,7
2689,J. Persson,1,1,1.0,70.5,1.6,0.915,0,0,8
4267,K. Zedadka,1,0,0.75,64.0,0.475,1.7125000000000001,0,0,2
170,Ferran Torres,3,2,165.0,85.5,55.0,30.885714285714283,0,0,6
383,Unai Simón,3,3,38.0,85.5,47.5,17.104347826086954,0,0,11
3693,A. Singh,1,0,0.5,54.5,0.11,0.2925,0,0,4
1979,Diogo Gonçalves,1,3,17.0,72.5,2.7,2.567857142857143,0,0,4
1865,22 Joel López,1,0,6.0,69.5,0.825,26.811666666666667,0,0,4
3276,J. Guidetti,2,0,3.0,65.0,0.6,1.0550000000000002,0,0,4
3680,J. Paluska,1,0,0.5,68.0,0.875,3.183333333333333,0,0,5
1692,K. Sano,1,0,2.0,73.0,2.0,2.375,0,0,6
2052,K. Dowell,1,2,33.0,72.5,2.8,4.0673076923076925,0,0,4
1471,Z. Aboukhlal,1,4,19.0,78.0,9.0,4.773076923076923,0,0,5
4790,23 D. Petrovič,1,0,8.0,69.5,1.4,1.9159090909090908,0,0,4
3212,T. Vaclík,1,2,6.0,73.0,0.525,1.1214285714285714,0,0,1
4643,S. Tovide,1,1,1.0,66.5,0.725,0.6416666666666667,0,0,7
4136,R. Mundle,1,0,6.0,69.5,1.3,3.171111111111111,0,0,5
2619,D. Maldonado,1,0,7.0,71.5,1.8,1.31875,0,0,3
1750,M. Lacava,1,0,2.0,73.0,2.6,1.8071428571428572,0,0,6
3833,E. Diouf,1,0,0.5,72.0,1.6,5.066666666666666,0,0,5
3092,S. Mavididi,1,4,43.0,77.0,9.5,4.782291666666667,0,0,6
2070,Welington Dano,1,0,37.0,81.0,27.0,27.0,0,0,4
1687,E. Soglo,1,0,0.5,71.0,1.3,8.677777777777777,0,0,6
3913,J. Miley,1,0,7.0,64.5,0.375,16.398076923076925,0,0,4
4135,23 J. Ardila,1,0,0.5,61.0,0.23,0.23,0,0,3
3368,G. Imbula,1,0,4.0,64.0,0.55,0.5337500000000001,0,0,3
1741,O. Scarles,1,0,0.5,68.5,0.55,13.74423076923077,0,0,6
4579,Ayesa,1,0,4.0,68.0,0.925,13.283695652173913,0,0,2
4100,E. Omić,1,1,2.0,69.5,1.2,1.8333333333333333,0,0,4
1087,L. Shaw,2,3,120.0,82.0,29.5,15.333870967741936,0,0,14
619,André Gomes,2,0,34.0,75.0,4.8,7.470535714285715,0,0,6
1559,Pau López,2,1,35.0,79.5,14.0,8.677777777777777,0,0,5
1982,J. Livolant,1,2,6.0,70.5,1.9,1.45625,0,0,4
223,V. van Dijk,4,8,220.0,89.0,70.5,21.95926829268293,1,1,8
3080,V. Milinković-Savić,1,3,31.0,79.0,11.5,12.97272727272727,0,0,10
2975,K. Miyoshi,1,2,11.0,70.0,1.7,1.9719230769230771,0,0,3
1329,N. Mukau,1,0,1.0,73.0,1.9,1.185,0,0,6
584,P. Wimmer,2,7,37.0,80.0,17.0,11.129166666666666,0,0,6
4465,N. El Aynaoui,1,0,23.0,78.5,11.5,11.217857142857143,0,0,5
4202,K. O'Toole,1,0,1.0,60.5,0.275,2.4272727272727272,0,0,4
2343,Y. Gomis,1,0,0.5,68.0,0.7,2.61875,0,0,4
1721,F. Israel,1,0,7.0,78.0,8.0,18.677272727272726,0,0,6
496,Hugo Duro,1,1,32.0,79.0,15.5,11.588235294117647,0,0,5
2826,M. Sagnan,1,2,12.0,73.5,2.6,4.533333333333333,0,0,3
2196,K. Gameiro,3,1,18.0,75.0,1.9,4.0435,0,0,4
189,R. Kolo Muani,3,4,90.0,83.5,42.0,36.855357142857144,0,0,6
173,R. Aït-Nouri,1,2,50.0,81.0,21.0,8.334999999999999,0,0,6
2374,F. Loyola,1,1,0.5,64.0,0.3,3.45,0,0,4
4377,F. Kleinhansl,1,1,3.0,69.0,1.3,1.0666666666666667,0,0,4
3713,M. Potoczny,1,0,0.5,61.5,0.21,0.21,0,0,4
1489,M. Diakhaby,1,0,29.0,77.5,8.5,11.588235294117647,0,0,10
2150,M. Ishak,1,2,8.0,71.0,1.8,0.9821428571428571,0,0,6
4885,Iván Morante,1,1,3.0,70.5,1.9,3.204166666666666,0,0,2
3188,Alex Telles,3,5,42.0,79.0,15.0,21.107499999999998,1,0,3
2204,I. Perišić,3,5,1.0,77.0,4.9,5.2,0,0,3
1738,F. Bamgboye,1,0,6.0,70.5,1.9,1.6416666666666666,0,0,2
2873,Wilson Manafá,1,2,13.0,73.0,2.8,1.1116666666666666,0,0,3
4614,J. Lora,1,0,0.65,75.5,4.0,2.9,0,0,5
3624,D. Bartesaghi,1,0,0.5,70.5,1.0,27.33409090909091,0,0,4
2067,F. Sacko,1,3,18.0,73.0,2.8,4.533333333333333,0,0,4
3955,B. Nelson,1,0,4.0,70.0,1.1,4.782291666666667,0,0,8
628,D. Upamecano,3,2,64.0,84.5,44.5,35.721875000000004,0,0,6
4608,V. Lund,1,3,2.0,73.0,2.3,0.902142857142857,0,0,4
410,S. Castro,1,2,9.0,76.0,4.0,9.726470588235294,0,0,5
4834,S. Tounekti,1,0,0.6,66.0,0.6,0.73125,0,0,5
3546,A. Higgins,1,0,1.0,61.5,0.25,1.926923076923077,0,0,3
4077,M. Estigarribia,1,0,7.0,69.0,1.4,1.8,0,0,3
4399,Volnei Feltes,1,0,3.0,72.5,2.5,2.1305555555555555,0,0,4
1084,Iñigo Martínez,2,3,145.0,82.0,20.0,30.885714285714283,0,0,3
1505,S. Field,1,0,11.0,72.5,2.2,1.8450000000000002,0,0,7
4883,22 R. Araki,1,1,3.0,74.0,3.0,3.0,0,0,4
3567,F. Pierrot,1,1,0.5,59.5,0.275,0.25125000000000003,0,0,2
918,M. Hilgers,1,1,9.0,78.5,9.0,6.528125,0,0,7
1240,D. Muñoz,1,5,43.0,79.0,17.0,11.011904761904763,0,0,4
4481,Kim Ryun Seong,1,0,0.75,60.5,0.3,0.8233333333333333,0,0,6
1997,J. Mæhle,2,2,39.0,77.5,11.5,11.129166666666666,0,0,5
3732,J. Ziółkowski,1,0,0.5,63.5,0.3,1.4749999999999999,0,0,3
3334,T. Arslan,1,5,13.0,75.0,4.5,1.7333333333333334,0,0,3
843,D. Kulusevski,2,2,100.0,84.0,43.5,25.79090909090909,0,0,6
4516,T. Bloxham,1,2,1.0,69.0,0.95,0.5516666666666666,0,0,5
1267,J. Draxler,3,4,75.0,77.0,10.5,36.855357142857144,0,0,8
3890,A. Henríquez,1,0,0.65,63.0,0.475,7.470535714285715,0,0,6
4658,21 Froilán,1,0,0.5,66.5,0.5,0.5,0,0,2
5037,20 C. Fath,1,0,0.5,58.5,0.06,1.452,0,0,4
906,Arthur,1,0,13.0,75.5,3.2,28.45921052631579,0,0,6
4951,21 C. Borțoneanu,1,0,1.0,64.0,0.4,0.7666666666666666,0,0,4
1718,J. Erabi,1,0,2.0,72.0,1.7,1.225,0,0,4
220,M. Guéhi,2,3,34.0,81.0,20.5,11.011904761904763,0,0,6
1615,T. Ream,1,3,35.0,73.0,0.8,6.167105263157895,0,0,11
2470,A. Daghim,1,2,0.5,66.5,0.5,0.7591666666666667,0,0,3
2718,J. Nisbet,1,2,2.0,70.5,1.8,1.16875,0,0,6
2879,J. Chabot,1,5,23.0,78.0,9.5,5.325,0,0,4
3646,E. Borrelli,1,1,0.5,67.5,0.5,1.05,0,0,4
1625,Juan Jesus,2,2,36.0,74.0,2.7,23.36923076923077,0,0,5
2608,S. Sambo,1,2,6.0,74.5,3.0,12.396875,0,0,5
704,B. Tahirović,1,0,6.0,76.0,3.6,7.7056818181818185,0,0,6
4198,M. Carson,1,1,0.8,62.5,0.425,1.0074999999999998,0,0,2
3267,A. Greene,1,1,0.85,61.0,0.21,0.21,0,0,10
2200,21 B. Ivanović,3,4,41.0,74.0,0.75,1.926923076923077,0,0,2
4595,J. Marchán,1,1,0.5,66.5,0.975,1.0375,0,0,2
1003,A. Jashari,1,2,6.0,77.0,4.8,2.45,0,0,7
3618,I. Sané,1,0,2.0,72.0,1.2,1.8142857142857143,0,0,6
1870,R. Zerrouki,1,2,14.0,76.5,6.5,11.984210526315788,0,0,5
3685,L. Lonardi,1,0,0.65,61.5,0.35,0.7083333333333334,0,0,4
3376,Ki Sung Yueng,2,9,7.0,73.0,1.0,1.8666666666666665,0,0,6
3309,21 Jota,1,2,18.0,72.0,2.3,3.7083333333333335,0,0,2
1281,Y. Carrasco,3,5,69.0,84.0,41.5,10.575000000000001,0,0,4
33,A. Dovbyk,1,1,39.0,82.5,34.0,17.965,0,0,6
2884,M. Meulensteen,1,0,5.0,70.5,1.7,0.9800000000000001,0,0,5
735,G. Scamacca,2,2,51.0,81.5,27.0,16.893055555555556,0,0,5
379,J. Maddison,2,6,135.0,85.5,63.5,25.79090909090909,0,1,6
517,M. Niakhaté,2,3,55.0,78.0,11.0,10.733333333333333,0,0,4
3633,Y. Verdier,1,0,0.75,66.0,0.7,0.725,0,0,3
1012,Á. Correa,2,4,77.0,82.0,31.0,20.312037037037037,0,0,13
1590,B. van den Boomen,2,5,18.0,78.0,15.0,7.7056818181818185,0,0,5
481,Gabriel,2,1,145.0,86.0,60.0,26.811666666666667,0,0,8
4985,A. Ocampo,1,1,7.0,69.5,1.7,1.0333333333333334,0,0,5
3726,D. Irimia,1,0,0.5,66.0,0.4,0.4,0,0,4
1185,A. Doughty,1,1,31.0,76.0,5.5,3.1134615384615385,0,0,4
2947,Arturo Inálcio,1,1,35.0,78.0,16.0,19.0,0,0,4
1351,E. Muçi,1,3,10.0,73.5,3.1,3.7982142857142853,0,0,2
4328,A. Fadera,1,1,7.0,73.5,3.2,4.861538461538462,0,0,5
2602,J. Castillo,1,0,3.0,69.5,1.4,3.7125,0,0,5
162,R. Le Normand,1,4,41.0,83.5,35.5,13.283695652173913,0,0,11
2974,R. Aliendro,1,9,19.0,76.0,6.0,4.885714285714286,0,0,5
2728,A. Phliponeau,1,0,1.0,66.0,0.7,0.95,0,0,2
2260,S. Leković,1,0,1.0,71.5,1.6,1.63125,0,0,6
45,Balde,2,3,70.0,85.0,53.0,30.885714285714283,0,0,8
4518,G. Santilli,1,0,0.5,66.5,0.825,0.8999999999999999,0,0,5
731,Rúben Neves,3,7,62.0,85.0,47.0,23.802,0,0,4
3861,T. Borne,1,0,1.0,62.5,0.375,2.0678571428571426,0,0,2
2744,M. De Cuyper,1,4,16.0,77.0,6.5,7.3500000000000005,0,0,9
4886,S. Bendebka,1,3,19.0,71.0,1.8,1.5925,0,0,5
3990,Teto,1,0,3.0,72.5,2.7,2.0,0,0,8
3157,S. Al Dawsari,2,6,46.0,79.0,14.5,23.802,0,0,15
2663,Romário Baró,1,0,6.0,72.5,2.8,12.614285714285714,0,0,11
962,Pepê,1,4,18.0,80.0,23.0,12.614285714285714,0,0,7
2778,E. Erhahon,1,1,4.0,70.0,1.6,1.05,0,0,4
1452,A. Benedyczak,1,0,4.0,75.5,4.8,4.033333333333333,0,0,5
1299,23 G. Buffon,4,3,3.0,77.0,1.2,4.033333333333333,0,0,4
2091,A. Gunn,1,0,22.0,74.5,3.6,3.1,0,0,5
2755,F. Evina,1,1,2.0,68.0,1.3,0.85625,0,0,3
899,D. Zakaria,2,1,50.0,80.5,20.5,13.135,0,0,6
2285,C. Behan,1,1,0.5,60.0,0.275,0.163,0,0,11
3771,M. Tonetto,1,0,0.95,67.5,1.2,1.325,0,0,3
2272,João Costa,1,0,3.0,69.0,0.625,14.482000000000001,0,0,3
4649,K. Tsunemoto,1,1,5.0,69.5,1.4,2.6666666666666665,0,0,4
2942,22 Rodrigo,1,2,1.0,72.0,2.1,2.965625,0,0,4
3938,N. Norris,1,1,0.5,62.0,0.3,3.5675,0,0,4
4504,A. Teuten,1,0,5.0,69.0,1.4,1.4,0,0,3
3355,Y. Belhanda,2,4,15.0,75.0,3.5,2.5,0,0,4
3332,Illarramendi,2,4,10.0,77.0,6.5,3.5675,0,0,2
1430,C. Olivera,1,2,5.0,76.0,4.2,5.517857142857143,0,0,4
548,G. Raspadori,2,2,49.0,80.5,21.5,23.36923076923077,0,0,6
4127,K. Vargas,1,0,3.0,72.5,2.3,2.7,0,0,3
1433,Cañizares,1,0,15.0,72.0,1.8,37.88035714285714,0,0,6
1122,F. Rieder,1,6,27.0,78.0,9.5,8.405555555555557,0,0,5
1246,E. Demirović,2,1,32.0,79.5,19.0,5.495588235294117,0,0,5
4769,T. Boulhendi,1,0,5.0,67.5,0.925,10.02763157894737,0,0,6
3244,22 Filipe Augusto,1,3,18.0,73.0,3.2,6.6,0,0,2
3933,D. Montevago,1,0,0.65,68.0,0.8,1.7194444444444446,0,0,4
684,A. Grønbæk,1,3,6.0,78.0,9.5,6.2,0,0,7
1919,Bruno Costa,1,0,5.0,72.5,2.7,1.8071428571428572,0,0,1
2089,Maikel Mesa,1,2,6.0,70.0,1.3,1.845,0,0,3
4740,J. Gomez,1,0,3.0,70.5,1.8,1.157142857142857,0,0,5
2137,J. Locadia,1,1,7.0,72.0,2.3,2.3,0,0,1
629,J. Ryerson,2,3,39.0,78.5,15.5,21.90416666666667,0,0,4
4203,23 F. Cibi,1,0,0.5,60.0,0.12,0.96,0,0,4
2790,P. Samiec-Talar,1,0,2.0,70.0,1.4,1.455,0,0,10
2771,D. Mellor,1,1,2.0,60.0,0.275,0.40625,0,0,3
2651,M. Okoye,1,2,7.0,73.5,2.3,4.6656249999999995,0,0,5
1180,Mateu Morey,1,1,19.0,74.0,2.8,21.90416666666667,0,0,6
2678,22 D. Velimirovic,1,1,3.0,64.0,0.55,1.9159090909090908,0,0,4
2840,B. Bye,1,1,5.0,71.0,1.8,1.225,0,0,7
3161,C. Nielsen,1,3,21.0,74.0,4.1,7.3500000000000005,0,0,5
1861,Guga Rodrigues,1,6,17.0,75.5,5.5,5.5,0,0,2
3052,N. Keïta,3,4,24.0,75.0,5.5,4.552272727272728,0,0,4
1761,A. Jasic,1,1,5.0,74.5,2.9,1.8333333333333333,0,0,5
2553,J. Varane,1,0,3.0,73.5,2.6,2.45,0,0,6
1330,O. Højlund,1,0,1.0,70.0,1.0,2.567857142857143,0,0,4
4109,D. Gjengaar,1,0,0.85,69.5,0.85,2.2066666666666666,0,0,4
942,A. Diouf,1,3,21.0,78.0,9.0,11.217857142857143,0,0,6
3169,R. Durmisi,1,2,2.0,66.0,0.75,0.55,0,0,1
1749,D. Guindo,1,2,4.0,71.5,2.1,5.534722222222222,0,0,5
3323,J. Hoilett,2,4,6.0,70.0,1.0,2.096875,0,0,1
1043,X. Schlager,2,4,54.0,82.0,29.0,28.642857142857142,0,0,5
2604,M. Hoppe,1,1,9.0,71.0,2.3,3.15,0,0,5
3891,N. Štulić,1,0,3.0,67.5,1.2,2.585714285714286,0,0,4
2752,23 K. Agudelo,1,1,10.0,74.0,3.0,1.625,0,0,5
538,J. Teze,1,2,15.0,79.5,15.0,12.396875,0,0,10
4311,H. Minturn,1,0,1.0,61.5,0.3,0.4385714285714286,0,0,5
613,E. Dier,2,5,53.0,78.0,12.0,35.721875000000004,0,0,2
1787,S. Bamba,1,3,5.0,71.0,1.4,21.90416666666667,0,0,2
3826,Y. El Ouatki,1,1,0.6,61.5,0.35,0.5375,0,0,4
1912,Gonzalo Villar,1,1,14.0,73.5,3.1,4.322222222222222,0,0,5
1139,A. Adams,1,1,20.0,77.5,8.5,4.533333333333333,0,0,4
543,André Almeida,1,3,26.0,78.0,9.0,11.588235294117647,0,0,7
1389,L. Ulrich,1,0,1.0,71.0,0.9,9.601315789473684,0,0,5
3348,D. Falcinelli,1,1,2.0,68.0,0.975,1.625,0,0,2
4724,V. Daley-Campbell,1,0,2.0,57.0,0.18,1.306875,0,0,1
2339,A. Khusanov,1,0,9.0,75.0,3.2,11.217857142857143,0,0,5
1708,T. Jacob,1,0,2.0,71.5,1.6,2.725,0,0,5
