,Name,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Value_mill(€),Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength
1440,T. Campbell,1,2,11.0,70.0,1.8,1.6204545454545454,0,0,8
4668,23 R. Graham,1,0,0.9,65.5,0.525,0.525,0,0,6
1130,M. Ljubičić,1,0,11.0,74.0,3.6,2.4,0,0,5
2253,T. Barnett,1,0,1.0,68.5,0.55,8.334999999999999,0,0,5
2376,H. Picard,1,0,2.0,71.5,1.7,1.2249999999999999,0,0,4
808,Yarek,1,0,3.0,75.0,2.4,11.588235294117647,0,0,3
1510,R. Ache,1,3,11.0,74.0,3.4,1.452,0,0,4
3105,F. Armani,1,1,10.0,77.0,1.2,4.885714285714286,0,0,9
2593,M. Monsalve,1,1,0.95,73.5,2.6,2.0083333333333333,0,0,4
2576,I. Grbić,1,0,24.0,76.5,5.5,3.230882352941176,0,0,4
3329,S. Zuber,2,4,1.0,76.0,6.5,6.325,0,0,4
656,S. Homenchenko,1,1,2.0,73.0,2.4,1.7399999999999998,0,0,1
3070,S. Lovrič,1,1,16.0,76.0,7.0,4.6656249999999995,0,0,6
858,S. Simón,1,1,9.0,76.0,5.0,4.885714285714286,0,0,6
1383,D. Huseinbašić,1,0,11.0,75.0,3.6,5.325,0,0,4
4574,G. Fratta,1,0,0.5,68.0,1.1,1.4750000000000003,0,0,2
4945,Bruno Duarte,1,0,5.0,71.0,2.0,2.0,0,0,2
833,B. Mumba,1,3,8.0,75.0,4.0,1.0725,0,0,5
2927,A. Barák,1,2,55.0,78.0,14.0,11.290277777777778,0,0,5
1614,S. de Vrij,3,3,86.0,82.0,21.0,31.868055555555557,1,0,8
3797,L. Thomas,1,0,0.8,59.5,0.25,0.3333333333333333,0,0,2
4691,23 L. Neilson,1,0,0.95,72.0,1.4,2.7,0,0,4
3356,J. Hunt,1,2,2.0,63.0,0.325,0.775,0,0,3
213,Newerton,1,0,0.5,77.0,3.1,4.39375,0,0,6
2520,M. Dijksteel,1,0,0.5,57.0,0.18,0.255,0,0,5
131,E. Eze,1,5,48.0,82.5,31.0,11.011904761904763,0,0,8
3087,Lekue,1,4,25.0,77.0,9.0,17.104347826086954,0,0,11
5034,20 J. White,1,0,0.5,59.0,0.05,0.21666666666666667,0,0,2
