,Name,Age,Growth,Weak foot,Skill moves,International reputation,Number of playstyles,Wage_thous(€),Avg_Rating,Total_movement,Total_power,Total_defending,Avg_stats,Value_mill(€),TotalAttSkiMent,Team,Body type_Unique,PlayStyles +_Unique playstyles+,ContLength,ContRemaining,AttDef
3203,J. Brown,28,0,3,3,1,4,3.0,64.0,73.2,68.2,43.666666666666664,63.333333333333336,0.6,60.07777777777778,0.775,0,0,3,2,1.0
2836,V. Millico,22,9,3,3,1,0,1.0,66.5,71.2,53.8,31.666666666666668,56.833333333333336,0.9,57.43333333333334,1.7125000000000001,0,0,2,1,1.5
1730,D. Beljo,21,9,4,3,1,0,16.0,76.5,56.0,74.0,25.666666666666668,59.0,5.5,59.21111111111111,5.495588235294117,0,0,5,4,1.0
4899,G. Sotomayor,23,3,3,3,1,0,0.5,66.5,71.8,61.2,45.0,59.333333333333336,0.975,56.611111111111114,1.8375000000000001,0,0,6,1,1.0
2925,E. Balcombe,23,8,3,1,1,0,5.0,65.0,47.6,41.8,16.0,57.166666666666664,0.625,17.91111111111111,8.309999999999999,0,0,12,4,1.0
355,M. Thiaw,21,8,4,2,1,2,34.0,80.0,70.4,67.2,75.66666666666667,66.66666666666667,15.5,59.644444444444446,27.33409090909091,0,0,6,4,1.0
3724,M. Raggett,19,13,3,2,1,0,0.5,60.5,73.6,57.4,34.0,53.333333333333336,0.25,46.644444444444446,0.163,0,0,3,1,1.5
3607,Marcos Navarro,19,14,2,2,1,0,0.95,67.0,63.2,47.0,57.0,53.5,0.55,49.53333333333333,2.136111111111111,0,0,3,2,1.5
3984,D. Mubama,18,18,3,2,1,0,4.0,69.0,68.2,59.8,22.666666666666668,54.166666666666664,0.625,49.58888888888888,13.74423076923077,0,0,4,1,1.0
3347,K. Casteels,31,0,2,1,3,1,50.0,83.0,52.6,52.0,15.666666666666666,75.5,19.0,22.48888888888889,11.129166666666666,0,0,10,1,1.0
2936,A. May,29,0,4,3,1,4,8.0,69.0,81.4,71.2,33.0,65.66666666666667,1.4,63.81111111111111,1.00625,0,0,3,2,1.0
2083,A. Miranchuk,27,0,2,3,1,4,52.0,78.0,76.2,69.4,26.333333333333332,65.83333333333333,15.0,70.87777777777778,16.893055555555556,0,0,6,2,1.0
2449,M. Mampassi,20,11,3,2,1,0,3.0,72.5,63.6,61.8,65.66666666666667,59.5,2.1,51.55555555555555,1.7083333333333333,0,0,5,3,1.0
2845,San Román,25,5,3,1,1,0,4.0,71.5,37.2,39.8,11.666666666666666,61.666666666666664,1.6,15.011111111111111,1.625,0,0,3,2,1.0
2690,N. Gioacchini,22,6,3,3,1,2,2.0,72.0,69.0,70.8,22.666666666666668,61.833333333333336,2.3,59.05555555555555,1.95,0,0,4,4,1.5
4118,J. Andersen,19,17,4,2,1,1,1.0,69.5,66.6,52.4,59.0,57.166666666666664,0.825,50.12222222222221,0.7591666666666667,0,0,5,2,0.5
554,Gabriel Veron,20,9,3,4,1,2,10.0,79.5,78.4,60.0,25.0,63.333333333333336,12.5,62.32222222222222,12.614285714285714,0,0,6,4,1.5
